Beat_Number,Time_seconds,Time_mm:ss.ms
245,236.4480,03:56.448
246,237.4085,03:57.409
247,238.3675,03:58.368
248,239.3253,03:59.325
249,240.2852,04:00.285
250,241.2870,04:01.287
251,242.2463,04:02.246
252,243.2053,04:03.205
253,244.1643,04:04.164
254,245.1233,04:05.123
255,246.1248,04:06.125
256,247.0848,04:07.085
257,248.0430,04:08.043
258,249.0027,04:09.003
259,249.9617,04:09.962
260,250.9632,04:10.963
261,251.9222,04:11.922
262,252.8818,04:12.882
263,253.8402,04:13.840
264,254.8005,04:14.800
265,255.8017,04:15.802
266,256.7618,04:16.762
267,257.7212,04:17.721
268,258.6790,04:18.679
269,259.6380,04:19.638
270,260.6400,04:20.640
271,261.5987,04:21.599
272,262.5580,04:22.558
273,263.5168,04:23.517
274,264.4762,04:24.476
275,265.4778,04:25.478
276,266.4370,04:26.437
277,267.3963,04:27.396
278,268.3548,04:28.355
279,269.3150,04:29.315
280,270.3163,04:30.316
281,271.2750,04:31.275
282,272.2350,04:32.235
283,273.1930,04:33.193
284,274.1535,04:34.154
285,275.1545,04:35.154
286,276.1137,04:36.114
287,277.0725,04:37.072
288,278.0308,04:38.031
289,278.9907,04:38.991
290,279.9923,04:39.992
291,280.9518,04:40.952
292,281.9108,04:41.911
293,282.8695,04:42.870
294,283.8288,04:43.829
295,284.8300,04:44.830
296,285.7898,04:45.790
297,286.7502,04:46.750
298,287.7080,04:47.708
299,288.6670,04:48.667
300,289.6678,04:49.668
301,290.6280,04:50.628
302,291.5875,04:51.587
303,292.5457,04:52.546
304,293.5052,04:53.505
305,294.5068,04:54.507
306,295.4653,04:55.465
307,296.4257,04:56.426
308,297.3845,04:57.385
309,298.3435,04:58.344
310,299.3447,04:59.345
311,300.3040,05:00.304
312,301.2633,05:01.263
313,302.2220,05:02.222
314,303.1815,05:03.182
315,304.1832,05:04.183
316,305.1425,05:05.142
317,306.1015,05:06.101
318,307.0605,05:07.060
319,308.0192,05:08.019
320,309.0213,05:09.021
321,309.9810,05:09.981
322,310.9398,05:10.940
323,311.8980,05:11.898
324,312.8585,05:12.858
325,313.8590,05:13.859
326,314.8193,05:14.819
327,315.7780,05:15.778
328,316.7365,05:16.736
329,317.6960,05:17.696
330,318.6977,05:18.698
331,319.6567,05:19.657
332,320.6165,05:20.616
333,321.5745,05:21.575
334,322.5347,05:22.535
335,323.5353,05:23.535
336,324.4945,05:24.495
337,325.4547,05:25.455
338,326.4128,05:26.413
339,327.3725,05:27.373
340,328.3740,05:28.374
341,329.3338,05:29.334
342,330.2925,05:30.293
343,331.2507,05:31.251
344,332.2100,05:32.210
345,333.2115,05:33.212
346,334.1707,05:34.171
347,335.1315,05:35.132
348,336.0890,05:36.089
349,337.0482,05:37.048
350,338.0503,05:38.050
351,339.0093,05:39.009
352,339.9692,05:39.969
353,340.9270,05:40.927
354,341.8875,05:41.887
355,342.8885,05:42.889
356,343.8472,05:43.847
357,344.8077,05:44.808
358,345.7655,05:45.765
359,346.7253,05:46.725
360,347.7262,05:47.726
361,348.6857,05:48.686
362,349.6450,05:49.645
363,350.6045,05:50.604
364,351.5632,05:51.563
365,352.5648,05:52.565
366,353.5240,05:53.524
367,354.4842,05:54.484
368,355.4423,05:55.442
369,356.4015,05:56.401
370,357.4025,05:57.402
371,358.3628,05:58.363
372,359.3225,05:59.322
373,360.2803,06:00.280
374,361.2398,06:01.240
375,362.2410,06:02.241
376,363.2010,06:03.201
377,364.1605,06:04.161
378,365.1185,06:05.118
379,366.0772,06:06.077
380,367.0788,06:07.079
381,368.0380,06:08.038
382,368.9977,06:08.998
383,369.9565,06:09.957
384,370.9155,06:10.916
385,371.9175,06:11.918
386,372.8763,06:12.876
387,373.8372,06:13.837
388,374.7945,06:14.795
389,375.7543,06:15.754
390,376.7555,06:16.755
391,377.7155,06:17.716
392,378.6745,06:18.675
393,379.6327,06:19.633
394,380.5920,06:20.592
395,381.5940,06:21.594
396,382.5535,06:22.553
397,383.5122,06:23.512
398,384.4710,06:24.471
399,385.4303,06:25.430
400,386.4312,06:26.431
401,387.3915,06:27.392
402,388.3515,06:28.351
403,389.3087,06:29.309
404,390.2690,06:30.269
405,391.2697,06:31.270
406,392.2292,06:32.229
407,393.1902,06:33.190
408,394.1477,06:34.148
409,395.1075,06:35.108
410,396.1085,06:36.108
411,397.0688,06:37.069
412,398.0272,06:38.027
413,398.9860,06:38.986
414,399.9455,06:39.945
415,400.9457,06:40.946
416,401.9065,06:41.906
417,402.8660,06:42.866
418,403.8238,06:43.824
419,404.7833,06:44.783
420,405.7853,06:45.785
421,406.7440,06:46.744
422,407.7060,06:47.706
423,408.6622,06:48.662
424,409.6212,06:49.621
425,410.6225,06:50.623
426,411.5822,06:51.582
427,412.5417,06:52.542
428,413.5007,06:53.501
429,414.4600,06:54.460
430,415.4608,06:55.461
431,416.4207,06:56.421
432,417.3802,06:57.380
433,418.3383,06:58.338
434,419.2980,06:59.298
435,420.2982,07:00.298
436,421.2590,07:01.259
437,422.2180,07:02.218
438,423.1760,07:03.176
439,424.1360,07:04.136
440,425.1370,07:05.137
441,426.0967,07:06.097
442,427.0557,07:07.056
443,428.0147,07:08.015
444,428.9742,07:08.974
445,429.9753,07:09.975
446,430.9343,07:10.934
447,431.8942,07:11.894
448,432.8528,07:12.853
449,433.8127,07:13.813
450,434.8132,07:14.813
451,435.7722,07:15.772
452,436.7317,07:16.732
