frame,video_time_s,time_min,phone_clock,speed_kmh,calc_speed_kmh,distance_remaining_km,dist_covered_integrated_km,acceleration_ms2,jerk_ms3,time_to_10km_min
68,670,11.1667,08:57,61,61.8810,9.7000,8.6042,-0.1362,-0.0071,9.8361
69,680,11.3333,08:57,66,55.6429,9.3000,8.7806,-0.2103,0.0007,9.0909
70,690,11.5000,08:58,41,50.0357,9.0000,8.9292,-0.1012,0.0090,14.6341
71,700,11.6667,08:58,42,49.3571,8.8000,9.0444,0.0635,0.0079,14.2857
72,710,11.8333,08:59,53,53.1071,8.5000,9.1764,0.1448,-0.0011,11.3208
73,720,12.0000,08:59,66,56.3452,9.3000,9.3417,0.0351,-0.0068,9.0909
74,730,12.1667,08:59,61,54.6071,8.2000,9.5181,-0.1316,-0.0038,9.8361
75,740,12.3333,08:58,41,50.0000,9.0000,9.6597,-0.1243,0.0036,14.6341
76,750,12.5000,08:59,42,48.5595,8.8000,9.7750,0.0443,0.0076,14.2857
77,760,12.6667,08:59,53,51.8452,8.5000,9.9069,0.1382,0.0033,11.3208
78,770,12.8333,08:59,63,55.8690,8.2000,10.0681,0.0853,-0.0053,9.5238
79,780,13.0000,08:59,61,57.1667,7.8000,10.2403,-0.0132,-0.0082,9.8361
80,790,13.1667,08:59,44,54.5952,7.5000,10.3861,-0.1296,-0.0046,13.6364
81,800,13.3333,09:00,58,49.8095,7.2000,10.5278,-0.1362,-0.0005,10.3448
82,810,13.5000,09:00,46,46.5714,7.2000,10.6722,-0.0437,0.0030,13.0435
83,820,13.6667,09:00,39,44.6667,6.7000,10.7903,-0.0622,0.0036,15.3846
84,830,13.8333,09:00,45,42.7500,6.6000,10.9069,-0.0443,0.0012,13.3333
85,840,14.0000,09:00,45,42.2143,6.6000,11.0319,0.0146,0.0010,13.3333
86,850,14.1667,09:00,38,42.0476,6.8000,11.1472,-0.0238,0.0018,15.7895
87,860,14.3333,09:01,45,41.4762,6.6000,11.2625,-0.0079,0.0012,13.3333
88,870,14.5000,09:01,38,42.0000,6.8000,11.3778,0.0370,0.0010,15.7895
89,880,14.6667,09:01,45,43.2083,6.6000,11.4931,0.0394,0.0006,13.3333
90,890,14.8333,09:01,45,44.2500,6.6000,11.6181,0.0185,-0.0006,13.3333
91,900,15.0000,09:01,45,45.2500,6.6000,11.7431,0.0093,-0.0016,13.3333
92,910,15.1667,09:01,45,45.7500,6.6000,11.8681,0.0046,-0.0021,13.3333
